#;Player;Pos;Team;FPT;CR;GP;MIN;ST;PTS;REB;AST;STL;BLK;BA;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;TOV;PF;FD;+/-
189;B. Koprivica;C;PAR;4.0;0.0;14;8.3;2;3.3;1.7;0.3;0.2;0.6;0.0;1.4;1.7;83.3;0.0;0.0;0.0;0.4;0.4;100.0;0.6;1.1;0.6;1.8;0.5;0.0
190;J. Anderson;F;VBC;4.0;0.0;18;18.6;11;6.1;2.2;0.6;0.4;0.2;0.4;2.4;5.2;45.7;0.8;2.5;33.3;0.5;0.7;69.2;0.3;1.8;0.8;2.1;0.6;0.0
191;L. Lekavicius;G;ZAL;3.9;0.0;30;12.1;1;4.9;0.8;1.6;0.3;0.0;0.1;1.7;4.6;37.2;0.7;1.8;39.6;0.8;0.9;85.7;0.1;0.6;0.8;1.1;1.1;0.0
192;A. Abass;F;VIR;3.8;0.0;31;12.9;2;4.4;1.7;0.4;0.4;0.1;0.1;1.6;3.9;41.0;0.8;2.5;31.6;0.4;0.4;84.6;0.6;1.1;0.2;1.1;0.4;0.0
193;D. Giedraitis;G;ZAL;3.8;0.0;30;16.6;19;4.8;1.0;1.0;1.1;0.0;0.2;1.6;4.1;39.8;0.8;1.8;42.6;0.8;0.9;92.3;0.3;0.7;0.8;1.7;0.9;0.0
194;K. Hines;C;EA7;3.7;0.0;34;12.3;2;3.3;2.3;0.8;0.4;0.4;0.3;1.3;2.3;55.1;0.0;0.0;0.0;0.8;1.2;67.5;1.0;1.2;0.9;2.1;1.0;0.0
195;G. Bortolani;G;EA7;3.7;0.0;18;7.5;0;4.4;0.7;0.3;0.2;0.1;0.1;1.4;3.3;42.4;0.9;2.1;44.7;0.7;0.7;92.3;0.1;0.6;0.3;0.6;0.6;0.0
196;K. Antetokounmpo;C;PAO;3.6;4.0;31;7.2;3;2.6;1.7;0.2;0.2;0.7;0.1;1.0;1.6;63.3;0.0;0.0;0.0;0.6;1.5;39.1;0.7;1.0;0.5;1.6;1.6;0.0
197;E. Ndiaye;C;RMB;3.6;4.0;23;11.2;13;2.9;2.3;0.5;0.4;0.2;0.1;1.1;2.4;45.5;0.3;1.1;32.0;0.3;0.5;66.7;0.9;1.4;0.4;1.7;0.7;0.0
198;Y. Ouattara;G;ASM;3.6;0.0;26;11.9;20;4.2;1.5;0.1;0.2;0.0;0.1;1.6;3.1;51.3;0.9;1.8;47.9;0.2;0.3;71.4;0.6;0.9;0.2;1.0;0.3;0.0
199;S. Sanli;C;FBB;3.5;4.1;35;12.2;16;4.7;2.0;0.5;0.1;0.3;0.1;1.8;3.9;45.7;0.6;1.6;35.1;0.5;0.7;78.3;0.6;1.4;0.5;2.5;1.1;0.0
200;D. Diez;F;BKN;3.5;0.0;30;12.1;14;2.4;2.1;0.5;0.2;0.0;0.0;0.9;2.0;44.1;0.6;1.6;37.5;0.1;0.1;75.0;0.4;1.6;0.2;0.9;0.2;0.0
201;J. Nnaji;C;BAR;3.4;0.0;19;5.7;0;2.6;1.5;0.2;0.2;0.3;0.0;0.9;1.3;72.0;0.0;0.0;0.0;0.7;1.6;41.9;0.6;0.9;0.2;0.9;0.9;0.0
202;V. Claver;F;VBC;3.4;0.0;21;14.8;5;3.4;2.1;0.6;0.4;0.0;0.1;1.2;3.0;40.3;0.7;1.9;38.5;0.3;0.4;75.0;0.5;1.6;0.7;1.5;0.8;0.0
203;A. Balcerowski;C;PAO;3.3;4.0;24;7.6;9;2.8;1.3;0.3;0.3;0.4;0.1;1.0;1.8;52.3;0.0;0.4;11.1;0.9;1.3;70.0;0.6;0.8;0.3;1.5;1.2;0.0
204;M. Ponitka;F;PAR;3.3;0.0;26;13.9;14;2.4;2.2;0.7;0.4;0.0;0.1;1.0;2.3;41.0;0.2;0.8;23.8;0.3;0.3;88.9;0.9;1.3;0.6;1.6;1.0;0.0
205;K. Pangos;G;VBC;3.3;0.0;17;16.8;7;3.5;1.1;2.5;0.4;0.0;0.1;1.2;3.9;30.3;0.6;2.4;25.0;0.5;0.5;100.0;0.2;0.9;1.2;2.1;1.8;0.0
206;N. Reuvers;F;VBC;3.3;0.0;29;14.9;11;4.9;2.3;0.5;0.2;0.4;0.1;1.8;4.7;38.7;0.6;2.2;26.6;0.6;0.9;66.7;0.6;1.7;0.7;2.4;1.1;0.0
